airport,percent_delayed,minutes_delayed
ABE,20.41,154156.0
ABI,23.12,50216.0
ABQ,19.65,570448.0
ABR,19.01,29464.0
ABY,21.85,34496.0
ACK,16.19,49516.0
ACT,23.52,37550.0
ACV,19.06,56116.0
ACY,19.09,72208.0
ADK,10.58,1088.0
ADQ,13.31,11446.0
AEX,15.77,46710.0
AGS,19.98,197616.0
AKN,14.47,5928.0
ALB,22.95,567930.0
ALO,19.29,19786.0
ALW,16.07,10720.0
AMA,19.87,150862.0
ANC,20.29,440380.0
APN,21.11,23932.0
ART,13.34,24936.0
ASE,26.59,372190.0
ATL,17.63,9540736.0
ATW,22.98,304142.0
AUS,21.86,2383508.0
AVL,20.78,456118.0
AVP,26.13,129364.0
AZA,19.4,197342.0
AZO,22.29,79022.0
BDL,21.75,697300.0
BET,16.63,14228.0
BFF,19.3,17862.0
BFL,19.62,87890.0
BGM,15.34,7480.0
BGR,19.24,156488.0
BHM,21.8,569838.0
BIH,23.55,9822.0
BIL,17.27,109338.0
BIS,18.27,107572.0
BJI,16.62,29982.0
BLI,17.97,51176.0
BLV,20.54,44062.0
BMI,17.21,70262.0
BNA,19.24,2525640.0
BOI,18.25,575600.0
BOS,22.01,4911046.0
BPT,16.35,22478.0
BQK,20.79,35994.0
BQN,28.23,81818.0
BRD,14.77,16770.0
BRO,16.99,85836.0
BRW,25.96,8698.0
BTM,12.19,14106.0
BTR,20.75,214856.0
BTV,20.34,260712.0
BUF,22.86,754278.0
BUR,19.07,665808.0
BWI,18.72,2177656.0
BZN,19.76,253674.0
CAE,20.25,322150.0
CAK,28.08,168840.0
CDC,11.9,11692.0
CDV,15.75,11114.0
CHA,19.57,240994.0
CHO,16.93,167064.0
CHS,20.15,709128.0
CID,23.52,320638.0
CIU,22.04,24582.0
CKB,28.86,7394.0
CLD,10.64,1078.0
CLE,21.02,1306450.0
CLL,21.98,34100.0
CLT,21.07,9111034.0
CMH,19.6,1171212.0
CMI,22.45,52814.0
CMX,31.82,51978.0
COD,21.4,27644.0
COS,22.55,378480.0
COU,25.4,69308.0
CPR,18.93,74102.0
CRP,19.25,159218.0
CRW,27.27,167254.0
CSG,16.55,27104.0
CVG,21.6,1415264.0
CWA,19.94,58454.0
CYS,18.78,37648.0
DAB,17.3,72148.0
DAL,19.64,1693148.0
DAY,22.66,395664.0
DCA,22.57,5190430.0
DDC,19.3,21790.0
DEC,27.72,31748.0
DEN,18.57,8273598.0
DFW,22.9,13098486.0
DHN,17.99,26266.0
DIK,16.69,24642.0
DLG,11.11,4430.0
